[2026-03-05 22:08:34 ET] Starting WebSocket feed for 13 symbols: ['GOOGL', 'BTC-USD', 'TSLA', 'AVGO', 'NVDA', 'AMD', 'ETH-USD', 'META', 'AVAX-USD', 'AAPL']...
[2026-03-05 22:08:34 ET] ERROR: websocket-client not installed. Run: pip3 install websocket-client
[2026-03-05 22:08:34 ET] Running in HTTP poll fallback mode (no WebSocket)
[2026-03-05 22:09:40 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:40 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:40 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:40 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:40 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:46 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:47 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:53 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:54 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:54 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:54 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:09:54 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:38 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:38 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:38 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:39 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:39 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:44 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:44 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:44 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:44 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:45 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:46 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:46 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:46 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:51 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:51 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:52 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:53 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:53 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:53 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:10:53 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:44 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:44 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:44 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:44 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:45 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:46 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:46 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:51 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:51 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:51 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:51 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:52 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:53 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:53 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:11:58 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:45 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:45 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:45 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:45 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:46 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:52 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:12:53 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:45 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:45 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:45 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:45 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:46 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:47 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:47 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:52 ET] Poll error GOOGL: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:52 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:52 ET] Poll error TSLA: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:52 ET] Poll error AVGO: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:52 ET] Poll error NVDA: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error AMD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error ETH-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error META: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error AVAX-USD: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error AAPL: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:53 ET] Poll error NOW: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:54 ET] Poll error MSFT: HTTP Error 429: Too Many Requests
[2026-03-05 22:13:54 ET] Poll error AMZN: HTTP Error 429: Too Many Requests
[2026-03-05 22:14:45 ET] Poll error BTC-USD: HTTP Error 429: Too Many Requests
